Common Name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for,GIC Decision
Virginia Goat's-rue,,Endangered,27/11/09,Tephrosia virginiana,Virginia Goat's-rue,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,
Virginia Mallow,,Endangered,25/04/10,Sida hermaphrodita,Virginia Mallow,,Endangered,Schedule 1,20/06/12,Ontario,Vascular Plants,,Add
Vivid Dancer,,Special Concern,01/05/15,Argia vivida,Vivid Dancer,,Special Concern,Schedule 1,25/02/19,"British Columbia, Alberta",Arthropods,,Add
Vole Ears Lichen,,Endangered,05/05/21,Erioderma mollissimum,Vole Ears Lichen,,Endangered,Schedule 1,20/06/12,"Newfoundland and Labrador, New Brunswick, Nova Scotia",Lichens,,Add
Wallis' Dark Saltflat Tiger Beetle,,Endangered,27/11/09,Cicindela parowana  wallisi,Wallis' Dark Saltflat Tiger Beetle,,Endangered,Schedule 1,20/06/12,British Columbia,Arthropods,,Add
Wandering Salamander,,Special Concern,02/05/14,Aneides vagrans,Wandering Salamander,,Special Concern,Schedule 1,02/02/18,British Columbia,Amphibians,,Add
Warmouth,,Endangered,01/05/15,Lepomis gulosus,Warmouth,,Special Concern,Schedule 1,05/06/03,Ontario,Fishes (freshwater),Status change,Pending
Warty Jumping-slug,,Special Concern,03/05/13,Hemphillia glandulosa,Warty Jumping-slug,,Special Concern,Schedule 1,12/01/05,British Columbia,Molluscs,,Add
Water Pennywort,,Special Concern,02/05/14,Hydrocotyle umbellata,Water Pennywort,,Special Concern,Schedule 1,05/06/03,Nova Scotia,Vascular Plants,,Downlist
Water-plantain Buttercup,,Endangered,26/04/09,Ranunculus alismifolius,Water-plantain Buttercup,,Endangered,Schedule 1,05/06/03,British Columbia,Vascular Plants,,
Wavy-rayed Lampmussel,,Special Concern,25/04/10,Lampsilis fasciola,Wavy-rayed Lampmussel,,Special Concern,Schedule 1,05/06/03,Ontario,Molluscs,,Downlist
Weed Shiner,,Not at Risk,01/04/99,Notropis texanus,,,No Status,No schedule,,Manitoba,Fishes (freshwater),,
Weidemeyer's Admiral,,Special Concern,04/05/12,Limenitis weidemeyerii,Weidemeyer's Admiral,,Special Concern,Schedule 1,05/06/03,Alberta,Arthropods,,
Western Banded Tigersnail,,Not at Risk,28/04/17,Anguispira kochi  occidentalis,,,No Status,No schedule,,British Columbia,Molluscs,,
Western Blue Flag,,Special Concern,25/04/10,Iris missouriensis,Western Blue Flag,,Special Concern,Schedule 1,05/06/03,Alberta,Vascular Plants,,Downlist
Western Brook Lamprey,Morrison Creek population,Endangered,25/04/10,Lampetra richardsoni,Western Brook Lamprey,Morrison Creek population,Endangered,Schedule 1,05/06/03,British Columbia,Fishes (freshwater),,
Western Bumble Bee mckayi subspecies,,Special Concern,02/05/14,Bombus occidentalis  mckayi,Western Bumble Bee mckayi subspecies,,No Status,No schedule,,"British Columbia, Yukon, Northwest Territories",Arthropods,Addition,Pending
Western Bumble Bee occidentalis subspecies,,Threatened,02/05/14,Bombus occidentalis  occidentalis,Western Bumble Bee occidentalis subspecies,,No Status,No schedule,,"British Columbia, Alberta, Saskatchewan",Arthropods,Addition,Pending
Western Chorus Frog,,Non-active,25/04/08,Pseudacris triseriata,,,No Status,No schedule,,"Ontario, Quebec",Amphibians,,
Western Chorus Frog,Carolinian population,Not at Risk,25/04/08,Pseudacris triseriata,,,No Status,No schedule,,Ontario,Amphibians,,
Western Chorus Frog,Great Lakes / St. Lawrence - Canadian Shield population,Threatened,25/04/08,Pseudacris triseriata,Western Chorus Frog,Great Lakes / St. Lawrence - Canadian Shield population,Threatened,Schedule 1,23/02/10,"Ontario, Quebec",Amphibians,,Add
Western Grebe,,Special Concern,02/05/14,Aechmophorus occidentalis,Western Grebe,,Special Concern,Schedule 1,02/11/17,"British Columbia, Alberta, Saskatchewan, Manitoba",Birds,,Add
Western Harvest Mouse dychei subspecies,,Endangered,29/11/19,Reithrodontomys megalotis  dychei,Western Harvest Mouse dychei subspecies,,Endangered,Schedule 1,05/03/09,Alberta,Mammals (terrestrial),,Add
Western Harvest Mouse megalotis subspecies,,Endangered,29/11/19,Reithrodontomys megalotis  megalotis,Western Harvest Mouse megalotis subspecies,,Special Concern,Schedule 1,05/03/09,British Columbia,Mammals (terrestrial),Status change,Pending
Western Painted Turtle,Intermountain - Rocky Mountain population,Special Concern,27/11/16,Chrysemys picta  bellii,Western Painted Turtle,Intermountain - Rocky Mountain population,Special Concern,Schedule 1,13/12/07,British Columbia,Reptiles,,Add
Western Painted Turtle,Pacific Coast population,Threatened,27/11/16,Chrysemys picta  bellii,Western Painted Turtle,Pacific Coast population,Threatened,Schedule 1,13/12/07,British Columbia,Reptiles,,Downlist
Western Painted Turtle,Prairie / Western Boreal - Canadian Shield population,Not at Risk,27/11/16,Chrysemys picta  bellii,,,No Status,No schedule,,"Alberta, Saskatchewan, Manitoba, Ontario",Reptiles,,
Western Prairie Fringed Orchid,,Endangered,27/11/16,Platanthera praeclara,Western Prairie Fringed-orchid,,Endangered,Schedule 1,05/06/03,Manitoba,Vascular Plants,,
Western Rattlesnake,,Threatened,01/05/15,Crotalus oreganus,Western Rattlesnake,,Threatened,Schedule 1,14/07/05,British Columbia,Reptiles,,Add
Western Red-backed Salamander,,Not at Risk,01/11/01,Plethodon vehiculum,,,No Status,No schedule,,British Columbia,Amphibians,,
Western Screech-owl,,Non-active,01/05/02,Megascops kennicottii,Western Screech-Owl,,No Status,No schedule,,British Columbia,Birds,,
Western Screech-owl kennicottii subspecies,,Threatened,04/05/12,Megascops kennicottii  kennicottii,Western Screech-Owl kennicottii subspecies,,Threatened,Schedule 1,12/01/05,British Columbia,Birds,,Uplist
Western Screech-owl macfarlanei subspecies,,Threatened,04/05/12,Megascops kennicottii  macfarlanei,Western Screech-Owl macfarlanei subspecies,,Threatened,Schedule 1,12/01/05,British Columbia,Birds,,Downlist
Western Silvery Aster,,Threatened,05/05/21,Symphyotrichum sericeum,Western Silvery Aster,,Threatened,Schedule 1,05/06/03,"Manitoba, Ontario",Vascular Plants,,Add
Western Silvery Minnow,,Threatened,01/11/17,Hybognathus argyritis,Western Silvery Minnow,,Threatened,Schedule 1,05/06/03,Alberta,Fishes (freshwater),,
Western Skink,,Special Concern,28/11/14,Plestiodon skiltonianus,Western Skink,,Special Concern,Schedule 1,12/01/05,British Columbia,Reptiles,,Add
Western Spiderwort,,Threatened,01/11/02,Tradescantia occidentalis,Western Spiderwort,,Threatened,Schedule 1,12/01/05,"Alberta, Saskatchewan, Manitoba",Vascular Plants,,Add
Western Tiger Salamander,,Non-active,25/11/12,Ambystoma mavortium,,,No Status,No schedule,,"British Columbia, Alberta, Saskatchewan, Manitoba",Amphibians,,
Western Tiger Salamander,Prairie / Boreal population,Special Concern,25/11/12,Ambystoma mavortium,Western Tiger Salamander,Prairie / Boreal population,Special Concern,Schedule 1,02/02/18,"Alberta, Saskatchewan, Manitoba",Amphibians,,Add
Western Tiger Salamander,Southern Mountain population,Endangered,25/11/12,Ambystoma mavortium,Western Tiger Salamander,Southern Mountain population,Endangered,Schedule 1,05/06/03,British Columbia,Amphibians,,Add
Western Toad,,Non-active,25/11/12,Anaxyrus boreas,Western Toad,,No Status,No schedule,12/01/05,"British Columbia, Yukon, Northwest Territories, Alberta",Amphibians,,Struck
Western Toad,Calling population,Special Concern,25/11/12,Anaxyrus boreas,Western Toad,Calling population,Special Concern,Schedule 1,12/01/05,"British Columbia, Alberta",Amphibians,,Add
Western Toad,Non-calling population,Special Concern,25/11/12,Anaxyrus boreas,Western Toad,Non-calling population,Special Concern,Schedule 1,12/01/05,"British Columbia, Yukon, Northwest Territories, Alberta",Amphibians,,Add
Western Waterfan,,Special Concern,01/11/13,Peltigera gowardii,Western Waterfan,,Special Concern,Schedule 1,02/02/18,British Columbia,Lichens,,Add
Western Yellow-bellied Racer,,Threatened,26/11/15,Coluber constrictor  mormon,Western Yellow-bellied Racer,,Special Concern,Schedule 1,15/08/06,British Columbia,Reptiles,Status change,Pending
Westslope Cutthroat Trout,Saskatchewan - Nelson Rivers populations,Threatened,27/11/16,Oncorhynchus clarkii  lewisi,Westslope Cutthroat Trout,Alberta population,Threatened,Schedule 1,08/03/13,Alberta,Fishes (freshwater),,Add
Westslope Cutthroat Trout,Pacific populations,Special Concern,27/11/16,Oncorhynchus clarkii  lewisi,Westslope Cutthroat Trout,Pacific populations,Special Concern,Schedule 1,23/02/10,British Columbia,Fishes (freshwater),,Add
Eastern Whip-poor-will,,Threatened,26/04/09,Antrostomus vociferus,Whip-poor-will,,Threatened,Schedule 1,04/02/11,"Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Birds,,Add
White Flower Moth,,Endangered,28/11/14,Schinia bimatris,White Flower Moth,,Endangered,Schedule 1,15/08/06,Manitoba,Arthropods,,Add
White Hake,Atlantic and Northern Gulf of St. Lawrence population,Threatened,01/11/13,Urophycis tenuis,White Hake,Atlantic and Northern Gulf of St. Lawrence population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
White Hake,Southern Gulf of St. Lawrence population,Endangered,01/11/13,Urophycis tenuis,White Hake,Southern Gulf of St. Lawrence population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
White Meconella,,Endangered,05/05/05,Meconella oregana,White Meconella,,Endangered,Schedule 1,15/08/06,British Columbia,Vascular Plants,,Add
White Prairie Gentian,,Endangered,26/11/10,Gentiana alba,White Prairie Gentian,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,
White Shark,Atlantic population,Endangered,05/05/21,Carcharodon carcharias,White Shark,Atlantic population,Endangered,Schedule 1,23/06/11,"Prince Edward Island, Atlantic Ocean, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Fishes (marine),,Add
White Shark,Pacific population,Data Deficient,29/04/06,Carcharodon carcharias,White Shark,Pacific population,No Status,No schedule,,Pacific Ocean,Fishes (marine),,
White Sturgeon,,Non-active,25/11/12,Acipenser transmontanus,White Sturgeon,,Special Concern,,,British Columbia,Fishes (freshwater),,
White Sturgeon,,Non-active,25/11/12,Acipenser transmontanus,White Sturgeon,Kootenay River population,No Status,No schedule,15/08/06,British Columbia,Fishes (freshwater),,Struck
White Sturgeon,,Non-active,25/11/12,Acipenser transmontanus,White Sturgeon,Lower Fraser River population,No Status,No schedule,,British Columbia,Fishes (freshwater),,Not to list
White Sturgeon,Lower Fraser River population,Threatened,25/11/12,Acipenser transmontanus,White Sturgeon,Lower Fraser River population,No Status,,,British Columbia,Fishes (freshwater),,Pending
White Sturgeon,,Non-active,25/11/12,Acipenser transmontanus,White Sturgeon,Middle Fraser River,No Status,No schedule,,British Columbia,Fishes (freshwater),,Not to list
White Sturgeon,,Non-active,25/11/12,Acipenser transmontanus,White Sturgeon,Nechako River population,Endangered,Schedule 1,15/08/06,British Columbia,Fishes (freshwater),,Add
White Sturgeon,,Non-active,25/11/12,Acipenser transmontanus,White Sturgeon,Upper Columbia River population,Endangered,Schedule 1,15/08/06,British Columbia,Fishes (freshwater),,Add
White Sturgeon,Upper Columbia River population,Endangered,25/11/12,Acipenser transmontanus,White Sturgeon,Upper Columbia River population,No Status,,,British Columbia,Fishes (freshwater),,
White Sturgeon,,Non-active,25/11/12,Acipenser transmontanus,White Sturgeon,Upper Fraser River population,Endangered,Schedule 1,15/08/06,British Columbia,Fishes (freshwater),,Add
White Sturgeon,Upper Fraser River population,Endangered,25/11/12,Acipenser transmontanus,White Sturgeon,Upper Fraser River population,No Status,,,British Columbia,Fishes (freshwater),,Pending
White Sturgeon,Upper Kootenay River population,Endangered,25/11/12,Acipenser transmontanus,White Sturgeon,Upper Kootenay River population,Endangered,Schedule 1,15/08/06,British Columbia,Fishes (freshwater),,Add
White Wood Aster,,Threatened,01/11/02,Eurybia divaricata,White Wood Aster,,Threatened,Schedule 1,12/01/05,"Ontario, Quebec",Vascular Plants,,Add
White-beaked Dolphin,,Not at Risk,01/04/98,Lagenorhynchus albirostris,,,No Status,No schedule,,Atlantic Ocean,Mammals (marine),,
White-headed Woodpecker,,Endangered,26/11/10,Dryobates albolarvatus,White-headed Woodpecker,,Endangered,Schedule 1,05/06/03,British Columbia,Birds,,
White-rimmed Shingle Lichen,,Threatened,03/05/19,Fuscopannaria leucosticta,White-rimmed Shingle Lichen,,No Status,No schedule,,"Ontario, Quebec, New Brunswick, Nova Scotia",Lichens,Addition,Pending
White-top Aster,,Special Concern,26/04/09,Sericocarpus rigidus,White-top Aster,,Special Concern,Schedule 1,05/06/03,British Columbia,Vascular Plants,,Downlist
Whitebark Pine,,Endangered,25/04/10,Pinus albicaulis,Whitebark Pine,,Endangered,Schedule 1,20/06/12,"British Columbia, Alberta",Vascular Plants,,Add
Whooping Crane,,Endangered,25/04/10,Grus americana,Whooping Crane,,Endangered,Schedule 1,05/06/03,"Northwest Territories, Alberta, Saskatchewan, Manitoba",Birds,,
Wild Hyacinth,,Threatened,01/05/02,Camassia scilloides,Wild Hyacinth,,Threatened,Schedule 1,12/01/05,Ontario,Vascular Plants,,Add
Williamson's Sapsucker,,Endangered,01/11/17,Sphyrapicus thyroideus,Williamson's Sapsucker,,Endangered,Schedule 1,15/08/06,British Columbia,Birds,,Add
Willowleaf Aster,,Threatened,01/05/03,Symphyotrichum praealtum,Willowleaf Aster,,Threatened,Schedule 1,12/01/05,Ontario,Vascular Plants,,Add
Winter Skate,Eastern Scotian Shelf - Newfoundland population,Endangered,01/05/15,Leucoraja ocellata,Winter Skate,Eastern Scotian Shelf - Newfoundland population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Winter Skate,Eastern Scotian Shelf population,Non-active,01/05/15,Leucoraja ocellata,Winter Skate,Eastern Scotian Shelf population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),,Not to list
Winter Skate,Gulf of St. Lawrence population,Endangered,01/05/15,Leucoraja ocellata,Winter Skate,Gulf of St. Lawrence population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Winter Skate,Northern Gulf-Newfoundland population,Non-active,01/05/15,Leucoraja ocellata,Winter Skate,Northern Gulf-Newfoundland population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),,
Winter Skate,Southern Gulf of St. Lawrence population,Non-active,01/05/15,Leucoraja ocellata,Winter Skate,Southern Gulf of St. Lawrence population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),,Not to list
Winter Skate,Western Scotian Shelf - Georges Bank population,Not at Risk,01/05/15,Leucoraja ocellata,Winter Skate,Western Scotian Shelf - Georges Bank population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),,Not to list
Wolf-eel,,Not at Risk,01/05/03,Anarrhichthys ocellatus,,,No Status,No schedule,,Pacific Ocean,Fishes (marine),,
Wolverine,,Special Concern,02/05/14,Gulo gulo,Wolverine,,Special Concern,Schedule 1,30/05/18,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Mammals (terrestrial),,Add
Wolverine,Eastern population,Non-active,02/05/14,Gulo gulo,Wolverine,Eastern population,No Status,No schedule,12/01/05,"Quebec, Newfoundland and Labrador",Mammals (terrestrial),,Struck
Wolverine,Western population,Non-active,02/05/14,Gulo gulo,Wolverine,Western population,No Status,No schedule,,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario",Mammals (terrestrial),,Not listed for further consideration
Wood Bison,,Special Concern,01/11/13,Bison bison  athabascae,Wood Bison,,Threatened,Schedule 1,05/06/03,"British Columbia, Yukon, Northwest Territories, Alberta, Manitoba",Mammals (terrestrial),Status change,Pending
Wood Thrush,,Threatened,25/11/12,Hylocichla mustelina,Wood Thrush,,Threatened,Schedule 1,02/11/17,"Ontario, Quebec, New Brunswick, Nova Scotia",Birds,,Add
Wood Turtle,,Threatened,01/11/18,Glyptemys insculpta,Wood Turtle,,Threatened,Schedule 1,23/02/10,"Ontario, Quebec, New Brunswick, Nova Scotia",Reptiles,,Add
Wood's Sagebrush,,Not at Risk,01/04/97,Artemisia rupestris  ssp. woodii,,,No Status,No schedule,,Yukon,Vascular Plants,,
Wood-poppy,,Endangered,30/11/07,Stylophorum diphyllum,Wood-poppy,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,
Caribou,Atlantic-GaspÌ©sie population,Endangered,28/11/14,Rangifer tarandus,Woodland Caribou,Atlantic-GaspÌ©sie population,Endangered,Schedule 1,05/06/03,Quebec,Mammals (terrestrial),,
Caribou,Boreal population,Threatened,28/11/14,Rangifer tarandus,Woodland Caribou,Boreal population,Threatened,Schedule 1,05/06/03,"British Columbia, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Mammals (terrestrial),,
Woodland Caribou,Labrador - Ungava population,Non-active,01/05/00,Rangifer tarandus  caribou,Woodland Caribou,Labrador - Ungava population,No Status,No schedule,,"Quebec, Newfoundland and Labrador",Mammals (terrestrial),,
Woodland Caribou,Northern Mountain population,Non-active,02/05/14,Rangifer tarandus  caribou,Woodland Caribou,Northern Mountain population,Special Concern,Schedule 1,12/01/05,"British Columbia, Yukon, Northwest Territories",Mammals (terrestrial),,Add
Woodland Caribou,Southern Mountain population,Non-active,02/05/14,Rangifer tarandus  caribou,Woodland Caribou,Southern Mountain population,Threatened,Schedule 1,05/06/03,"British Columbia, Alberta",Mammals (terrestrial),,
Woodland Caribou,Western population,Non-active,01/05/00,Rangifer tarandus  caribou,Woodland Caribou,Western population,No Status,No schedule,,"British Columbia, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario",Mammals (terrestrial),,
Woodland Vole,,Special Concern,26/11/10,Microtus pinetorum,Woodland Vole,,Special Concern,Schedule 1,05/06/03,"Ontario, Quebec",Mammals (terrestrial),,
Wrinkled Shingle Lichen,,Threatened,29/04/16,Pannaria lurida,Wrinkled Shingle Lichen,,Threatened,Schedule 1,25/02/19,"Prince Edward Island, Newfoundland and Labrador, New Brunswick, Nova Scotia",Lichens,,Add
Y-Prickleback,,Not at Risk,01/04/91,Allolumpenus hypochromus,,,No Status,No schedule,,Pacific Ocean,Fishes (marine),,
Yellow Lampmussel,,Special Concern,01/11/13,Lampsilis cariosa,Yellow Lampmussel,,Special Concern,Schedule 1,14/07/05,"New Brunswick, Nova Scotia",Molluscs,,Add
Yellow Montane Violet praemorsa subspecies,,Endangered,30/11/07,Viola praemorsa  ssp. praemorsa,Yellow Montane Violet praemorsa subspecies,,Endangered,Schedule 1,05/06/03,British Columbia,Vascular Plants,,Uplist
Yellow Rail,,Special Concern,27/11/09,Coturnicops noveboracensis,Yellow Rail,,Special Concern,Schedule 1,05/06/03,"British Columbia, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick",Birds,,
Yellow Scarab Hunter Wasp,,Special Concern,01/11/18,Dielis pilipes,Yellow Scarab Hunter Wasp,,No Status,No schedule,,British Columbia,Arthropods,Addition,Pending
Yellow-banded Bumble Bee,,Special Concern,01/05/15,Bombus terricola,Yellow-banded Bumble Bee,,Special Concern,Schedule 1,30/05/18,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Arthropods,,Add
